name,name_kn,brand,unit,mrp,stock,category,category_kn,description,image_url,mrp_source
Eggs,ಮೊಟ್ಟೆ,,6 pcs,42,,Dairy & Bread,ಹಾಲು & ಬ್ರೆಡ್,"Farm chicken eggs, called motte in Kannada, boiled for breakfast, made into omelette, egg curry and egg rice, and used in cakes. A pack of six is a two- or three-day supply for a small family and is the usual quantity picked up along with bread and milk.",https://wink-1nn.pages.dev/catalogue/eggs-6-pcs.jpg,"typical shelf price, Sept 2026 (NECC Bengaluru rate Rs 5.50/egg on 6 Sept 2026 per todayeggratesindia.com; retail Rs 6-7/egg, so a half-dozen is Rs 36-42; packed 6-egg cartons sell at Rs 45-55)"
Milk,ಹಾಲು,Nandini,500 ml,24,,Dairy & Bread,ಹಾಲು & ಬ್ರೆಡ್,"Pasteurised toned milk in the blue half-litre pouch, called haalu in Kannada, boiled at home for morning coffee, tea and evening milk, and set overnight for curd. A 500 ml pouch is the usual daily buy for a two-person household or one day's coffee and tea for a small family.",https://wink-1nn.pages.dev/catalogue/milk-500-ml.jpg,"typical shelf price, Sept 2026 (KMF fixed Nandini toned milk at Rs 48/litre from 1 April 2025 per goodreturns.in and thehansindia.com, so the 500 ml pouch is Rs 24; no further revision reported)"
Paneer,ಪನೀರ್,Nandini,200 g,96,,Dairy & Bread,ಹಾಲು & ಬ್ರೆಡ್,"Fresh cottage cheese block made from cow milk, cubed for paneer butter masala, palak paneer, paneer tikka and fried rice. A 200 g pack makes one family-size curry and should be used within a day or two of opening.",https://wink-1nn.pages.dev/catalogue/paneer-200-g.jpg,"https://world.openfoodfacts.org/product/8906036674524 (Nandini Paneer 200 g back panel photographed June 2026 shows MRP Rs 96.00, Rs 0.48/g; KMF 1 kg paneer Rs 408 after the Sept 2025 GST cut)"
Chana Dal,ಕಡಲೆ ಬೇಳೆ,,500 g,45,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Split Bengal gram, kadale bele in Kannada, used for the holige (obbattu) filling, kosambari, vada, chutney tempering and dal. A 500 g pack covers one festival's holige or several weeks of everyday tempering.",https://wink-1nn.pages.dev/catalogue/chana-dal-500-g.jpg,"typical shelf price, Sept 2026 — chana dal sells loose at about ₹80–95/kg; Flipkart 2 kg packs list about ₹163"
Green Moong,ಹೆಸರು ಕಾಳು,,500 g,70,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Whole green gram with the skin on, hesaru kaalu in Kannada, soaked and sprouted for kosambari and usli or cooked whole for curry and palya. A 500 g pack gives a family several rounds of sprouts or curry.",https://wink-1nn.pages.dev/catalogue/green-moong-500-g.jpg,"typical shelf price, Sept 2026 — whole green moong sells loose at about ₹120–140/kg"
Groundnut,ಕಡಲೆಕಾಯಿ,,500 g,75,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Raw shelled groundnuts, kadalekayi beeja in Kannada, a North Karnataka staple that goes into chutney pudi, roasted for kadlekai chikki, fried as masala shenga, and tempered into chitranna and upma. A 500 g pack lasts a family a few weeks of everyday use.",https://wink-1nn.pages.dev/catalogue/groundnut-500-g.jpg,"typical shelf price, Sept 2026 — loose raw groundnut around Hospet (a groundnut-growing belt) is about ₹130–160/kg"
Kabuli Chana,ಕಾಬೂಲಿ ಕಡಲೆ,,500 g,75,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Large white chickpeas, kabuli kadale in Kannada, soaked overnight and pressure-cooked for chole, sundal, usli and chana masala, or added to pulao. A 500 g pack makes three or four family-size dishes.",https://wink-1nn.pages.dev/catalogue/kabuli-chana-500-g.jpg,"typical shelf price, Sept 2026 — loose kabuli chana is about ₹130–160/kg depending on grain size; packaged 500 g packs list ₹75–110"
Masoor Dal,ಮಸೂರ ಬೇಳೆ,,500 g,45,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Split red lentil, masoor bele in Kannada, which cooks in minutes without soaking and goes into quick dal, saaru and mixed-dal dishes. A 500 g pack suits a small family for a few weeks of occasional use.",https://wink-1nn.pages.dev/catalogue/masoor-dal-500-g.jpg,"typical shelf price, Sept 2026 — masoor dal sells loose at about ₹80–95/kg; Flipkart 2 kg packs list about ₹166–167"
Moong Dal,ಹೆಸರು ಬೇಳೆ,,500 g,70,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Split, skinned yellow moong, hesaru bele in Kannada, which cooks quickly and soft. It is used for kosambari, moong dal payasa, pongal and light dal or kootu; a 500 g pack covers several such dishes for a family.",https://wink-1nn.pages.dev/catalogue/moong-dal-500-g.jpg,"typical shelf price, Sept 2026 — mandi rate about ₹98/kg (commodityonline.com, Sept 2026), loose retail about ₹120–140/kg"
Toor Dal,ತೊಗರಿ ಬೇಳೆ,,1 kg,130,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Split pigeon pea, togari bele in Kannada, the everyday dal of Karnataka for saaru, sambar, huli and bisi bele bath. A 1 kg pack lasts a small family two to three weeks of daily cooking.",https://wink-1nn.pages.dev/catalogue/toor-dal-1-kg.jpg,"https://www.commodityonline.com/mandiprices/arhar-dal-tur-dal (all-India retail about ₹118/kg, 1 Sept 2026; Amazon 1 kg listing ₹130, Aug 2026) — loose dal at Hospet kiranas is about ₹110–130/kg, packaged Tata Sampann 1 kg lists higher"
Urad Dal,ಉದ್ದಿನ ಬೇಳೆ,,500 g,70,,Dals & Pulses,ಬೇಳೆ ಕಾಳುಗಳು,"Skinned split black gram, uddina bele in Kannada, ground with rice for idli, dosa and vada batter and used whole in the tadka for chutneys and upma. A 500 g pack is enough for two or three batches of idli batter.",https://wink-1nn.pages.dev/catalogue/urad-dal-500-g.jpg,"typical shelf price, Sept 2026 — white urad dal sells loose at about ₹130–150/kg; Flipkart 500 g packs list about ₹62–75"
Banana,ಬಾಳೆಹಣ್ಣು,,6 pcs,30,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Ripe yellow bananas, balehannu in Kannada, eaten as an everyday fruit, offered at pooja, and mashed into rasayana and sheera. A pack of six covers a small family for two or three days; the small elakki type and the larger pachbale are both common in Hospet.",https://wink-1nn.pages.dev/catalogue/banana-6-pcs.jpg,"typical shelf price, Sept 2026 (pachbale/robusta bananas sell for about ₹50-60 a dozen and elakki for ₹80-100 a dozen in Karnataka towns, so six pieces run ₹25-50; Bangalore retail list at https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka shows only raw plantain at ₹14-17)"
Coriander Leaves,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,,1 bunch,20,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Fresh coriander, kothambari soppu in Kannada, chopped over sambar, rasam, upma and bisi bele bath just before serving, and ground into green chutney. One bunch is about 100 g and covers two or three days of garnishing; wrap it in a cloth or paper in the fridge to keep it fresh.",https://wink-1nn.pages.dev/catalogue/coriander-leaves-1-bunch.jpg,"https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka (Bangalore retail coriander leaves ₹19-22 on 05 Sep 2026; loose produce, bunch price in Hospet is usually ₹10-20)"
Curry Leaves,ಕರಿಬೇವು,,1 bunch,10,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Fresh curry leaves, karibevu in Kannada, dropped into hot oil at the start of almost every Karnataka dish, from sambar and rasam to upma, palya and chitranna. One bunch is a handful of sprigs, enough for a week of daily tadka, and the leaves keep well in a paper-lined box in the fridge.",https://wink-1nn.pages.dev/catalogue/curry-leaves-1-bunch.jpg,"typical shelf price, Sept 2026 (a bunch of curry leaves sells for ₹5-10 at Karnataka vegetable shops; Bangalore retail listed at ₹50-59 on 05 Sep 2026 at https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka, which reads as a per-kg rate)"
Garlic,ಬೆಳ್ಳುಳ್ಳಿ,,250 g,70,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Whole garlic bulbs, bellulli in Kannada, crushed into the tadka for dal and sambar, pounded into ginger-garlic paste, and roasted for chutney pudi. A 250 g pack is about eight to twelve bulbs and keeps for a month in a dry, airy basket.",https://wink-1nn.pages.dev/catalogue/garlic-250-g.jpg,"https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka (Bangalore retail garlic ₹253-299/kg on 05 Sep 2026, so about ₹63-75 per 250 g; loose produce)"
Ginger,ಶುಂಠಿ,,250 g,40,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Fresh ginger root, shunti in Kannada, grated into chai, ground with garlic into the paste for curries and biryani, and used in chutneys and rasam. A 250 g pack is a few large pieces, about two to three weeks of daily use for a small family.",https://wink-1nn.pages.dev/catalogue/ginger-250-g.jpg,"https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka (Bangalore retail ginger ₹139-164/kg on 05 Sep 2026, so about ₹35-41 per 250 g; loose produce)"
Green Chilli,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,,250 g,20,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Fresh green chillies, hasi menasinakayi in Kannada, slit or chopped into the tadka for upma, palya, chutney and sambar, and eaten whole with meals. A 250 g pack holds around 30 to 40 chillies, enough for a small family for a week or two if kept in the fridge.",https://wink-1nn.pages.dev/catalogue/green-chilli-250-g.jpg,"https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka (Bangalore retail green chilli ₹75-88/kg on 05 Sep 2026, so about ₹19-22 per 250 g; loose produce)"
Lemon,ನಿಂಬೆಹಣ್ಣು,,4 pcs,25,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Small, juicy lemons, nimbehannu in Kannada, squeezed over rasam, chitranna (lemon rice), pickled whole, and stirred into nimbe sharbat on hot days. A pack of four covers a small family for about a week and keeps well at room temperature.",https://wink-1nn.pages.dev/catalogue/lemon-4-pcs.jpg,"typical shelf price, Sept 2026 (lemons sell at about ₹5-8 apiece in Karnataka towns, so four pieces run ₹20-30; Bangalore retail lemon listed at ₹55-65 on 05 Sep 2026 at https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka)"
Onion,ಈರುಳ್ಳಿ,,1 kg,65,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Red onions, called eerulli in Kannada, the base of almost every Karnataka curry, sambar, upma and chutney and eaten raw with meals. A 1 kg pack is about six to eight medium onions, enough for a small family for four or five days.",https://wink-1nn.pages.dev/catalogue/onion-1-kg.jpg,"https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka (Bangalore retail onion ₹63-74/kg on 05 Sep 2026; loose produce, price moves weekly)"
Potato,ಆಲೂಗಡ್ಡೆ,,1 kg,35,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Potatoes, aloogadde in Kannada, go into palya (dry curry), sagu for poori and dosa, bonda and vegetable sambar. A 1 kg pack is about seven to nine medium potatoes and keeps for two weeks in a cool, dark corner of the kitchen.",https://wink-1nn.pages.dev/catalogue/potato-1-kg.jpg,"https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka (Bangalore retail potato ₹34-40/kg on 05 Sep 2026; loose produce, price moves weekly)"
Tomato,ಟೊಮ್ಯಾಟೊ,,1 kg,30,,Fruits & Vegetables,ಹಣ್ಣು & ತರಕಾರಿ,"Ripe red tomatoes, tomato or tomyato in Kannada, used daily in rasam, sambar, tomato bath, gojju and chutney. A 1 kg pack is roughly eight to twelve tomatoes, about a week's cooking for a small family, best used within four or five days.",https://wink-1nn.pages.dev/catalogue/tomato-1-kg.jpg,"https://market.todaypricerates.com/Bangalore-vegetables-price-in-Karnataka (Bangalore retail tomato ₹30-35/kg on 05 Sep 2026; loose produce, price swings sharply with season)"
Agarbatti,ಅಗರಬತ್ತಿ,Cycle Three in One,1 pack,25,,Household,ಗೃಹೋಪಯೋಗಿ,"Incense sticks, called oodubatti in Kannada, lit at the pooja corner morning and evening. A standard pack of 20 to 40 sticks lasts two to three weeks of daily use.",https://wink-1nn.pages.dev/catalogue/agarbatti-1-pack.jpg,"https://vaidhikamart.com/product/cycle-3-in-1-agarbatti-mrp-25 (regular pack MRP Rs 25, Sept 2026); larger Rs 75 and Rs 150 packs also sold"
Aluminium Foil,ಅಲ್ಯೂಮಿನಿಯಂ ಫಾಯಿಲ್,Hindalco Freshwrapp,9 m,130,,Household,ಗೃಹೋಪಯೋಗಿ,Kitchen aluminium foil on a roll for wrapping chapatis and packing tiffin. The 9 m roll is the usual household size and lasts a family a month or two.,https://wink-1nn.pages.dev/catalogue/aluminium-foil-9-m.jpg,"https://www.bigbasket.com/pd/100014975/hindalco-freshwrapp-standard-aluminium-foil-9-mtr-carton/ (listed Rs 130, Sept 2026)"
Candle,ಮೇಣದಬತ್ತಿ,,1 pack,25,,Household,ಗೃಹೋಪಯೋಗಿ,"Plain white wax candles for power cuts and pooja, sold as a packet of about six to ten. Each candle burns for two to three hours.",https://wink-1nn.pages.dev/catalogue/candle-1-pack.jpg,"typical shelf price, Sept 2026: Kochi maker Popular Candles wholesales 6-pc household packs at about Rs 12-14 (https://www.popularcandles.in/household-candles.html); retail packets sell for Rs 20-30"
Garbage Bags,ಕಸದ ಚೀಲ,Shalimar,30 pcs,75,,Household,ಗೃಹೋಪಯೋಗಿ,"Black plastic dustbin liners, medium size (19 x 21 inch), on a roll of 30. One roll covers a household for about a month of daily bin changes.",https://wink-1nn.pages.dev/catalogue/garbage-bags-30-pcs.jpg,"typical shelf price, Sept 2026: Amazon.in lists Clean India and Presto medium 30-pc rolls at roughly Rs 60-100 per roll (https://www.amazon.in/Clean-India%C2%AE-Garbage-Bags-Medium/dp/B0892QBDZJ)"
Matchbox,ಬೆಂಕಿಪೊಟ್ಟಣ,Ship,1 pc,2,,Household,ಗೃಹೋಪಯೋಗಿ,"A box of safety matches, benkipottana in Kannada, for lighting the gas stove, agarbatti and lamps. One box holds about 40 to 50 sticks.",https://wink-1nn.pages.dev/catalogue/matchbox-1-pc.jpg,"typical shelf price, Sept 2026: the standard matchbox moved from Rs 1 to Rs 2 in December 2021 and has stayed there"
Chilli Powder,ಮೆಣಸಿನ ಪುಡಿ,Everest (Tikhalal),200 g,128,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Ground dried red chillies, called menasina pudi in Kannada, the main source of heat in sambar, gojju, chutney pudi and non-veg gravies. A 200 g pack suits a family that cooks spicy food daily and lasts about a month.",https://wink-1nn.pages.dev/catalogue/chilli-powder-200-g.jpg,"https://blinkit.com/prn/everest-tikhalal-red-chilli-powder/prid/25281 (Everest Tikhalal 200 g, MRP Rs 128, Sept 2026; bigbasket lists Rs 102)"
Coriander Powder,ಕೊತ್ತಂಬರಿ ಪುಡಿ,Everest,100 g,40,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Ground dried coriander seed, called kothambari pudi in Kannada, used as the body of sambar, saaru and vegetable gravies and often mixed with chilli powder at the stove. A 100 g pack covers a small family's cooking for three to four weeks.",https://wink-1nn.pages.dev/catalogue/coriander-powder-100-g.jpg,"https://www.bigbasket.com/pd/100004178/everest-powder-green-coriander-100-g-pouch/ (Everest Green Coriander Powder 100 g listed at Rs 40, Sept 2026; older listings show MRP Rs 28-32)"
Cumin Seeds,ಜೀರಿಗೆ,Tata Sampann,100 g,70,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Whole cumin seed, called jeerige in Kannada, used in tempering for rasam, upma, pulao and jeera rice, and roasted and ground into fresh masala. A 100 g pack keeps a family's spice box stocked for a month or more.",https://wink-1nn.pages.dev/catalogue/cumin-seeds-100-g.jpg,"https://www.bigbasket.com/pd/40334088/tata-sampann-whole-spices-cumin-seeds-100-g/ (Tata Sampann Cumin Seeds 100 g, MRP Rs 70, Sept 2026)"
Jaggery,ಬೆಲ್ಲ,,1 kg,80,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Unrefined cane sugar in solid blocks, called bella in Kannada, used to sweeten holige, payasa, kadubu and everyday coffee in many Karnataka homes. A 1 kg block or bag covers a family's festival cooking and a few weeks of daily use.",https://wink-1nn.pages.dev/catalogue/jaggery-1-kg.jpg,"typical shelf price, Sept 2026 (Bangalore mandi rate Rs 50-54/kg per commodityonline.com; packed 1 kg rounds Rs 99 on bigbasket.com; loose Mandya-style bella retails at Rs 70-90/kg)"
Mustard Seeds,ಸಾಸಿವೆ,Catch,100 g,32,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Small black-brown mustard seeds, called sasive in Kannada, popped in hot oil as the first step of almost every oggarane (tempering) for sambar, palya, chutney and pickles. A 100 g pack keeps a family's spice box going for a month or more since only a spoonful is used at a time.",https://wink-1nn.pages.dev/catalogue/mustard-seeds-100-g.jpg,"https://blinkit.com/prn/catch-black-big-mustard-seeds/prid/388680 (Catch Black Big Mustard Seeds 100 g, MRP Rs 30-32, Sept 2026; Tata Sampann sells 200 g at Rs 57)"
Rasam Powder,ರಸಂ ಪುಡಿ,MTR,100 g,85,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Ground spice mix of coriander, pepper, cumin, chilli and dal for making saaru (rasam), the thin tamarind-and-tomato soup eaten with rice in most Karnataka homes. A 100 g pouch makes saaru for a family of four around fifteen to twenty times, so it lasts a month of regular use.",https://wink-1nn.pages.dev/catalogue/rasam-powder-100-g.jpg,"https://shop.mtrfoods.com/products/mtr-rasam-powder-100-g (MTR Rasam Powder 100 g, MRP Rs 85, Sept 2026; bigbasket Rs 78)"
Salt,ಉಪ್ಪು,Tata Salt,1 kg,32,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Iodised free-flowing table salt, called uppu in Kannada, used for everyday cooking, pickling and seasoning. A 1 kg pack is the standard household size and lasts a family several weeks.",https://wink-1nn.pages.dev/catalogue/salt-1-kg.jpg,"https://blinkit.com/prn/tata-salt-vacuum-evaporated-iodised-salt/prid/105 (MRP Rs 32 for 1 kg, Sept 2026)"
Sambar Powder,ಸಾಂಬಾರ್ ಪುಡಿ,MTR,100 g,76,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Ready-ground sambar masala of roasted coriander, red chilli, dal and spices, called sambar pudi in Kannada, stirred into cooked toor dal and vegetables for everyday sambar and huli. A 100 g pouch makes sambar for a family of four roughly twenty times, so it lasts about a month of daily cooking.",https://wink-1nn.pages.dev/catalogue/sambar-powder-100-g.jpg,"https://shop.mtrfoods.com/products/mtr-sambar-powder-100-g-1 (MTR Sambar Powder 100 g, MRP Rs 76 for Karnataka, Sept 2026; bigbasket Rs 72, zepto MRP Rs 91)"
Sugar,ಸಕ್ಕರೆ,Madhur,1 kg,65,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"White crystal sugar, called sakkare in Kannada, used for tea, coffee, payasa and festival sweets. A 1 kg pack suits a small family for two to three weeks of daily tea and cooking.",https://wink-1nn.pages.dev/catalogue/sugar-1-kg.jpg,"https://www.zepto.com/pn/madhur-pure-hygienic-sugar/pvid/3fd95375-ca7f-4527-92fa-66758967c1b3 (MRP Rs 65 for 1 kg, Sept 2026; loose sugar sells nearer Rs 45-50/kg)"
Tamarind,ಹುಣಸೆ ಹಣ್ಣು,,500 g,125,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Dried, deseeded tamarind pulp, called hunase hannu in Kannada, soaked in water and squeezed to give sambar, saaru, gojju, puliyogare and chutneys their sour base. A 500 g pack lasts a family that cooks sambar or saaru most days about a month.",https://wink-1nn.pages.dev/catalogue/tamarind-500-g.jpg,"typical shelf price, Sept 2026 (bigbasket bb Popular deseeded tamarind 500 g Rs 123; Saaral seedless 500 g Rs 170; loose tamarind in Karnataka kiranas Rs 180-250/kg, so a 500 g slab runs Rs 90-125)"
Turmeric Powder,ಅರಿಶಿನ ಪುಡಿ,Everest,100 g,48,,Masala & Spices,ಮಸಾಲೆ ಪದಾರ್ಥಗಳು,"Ground dried turmeric root, called arishina in Kannada, added by the pinch to almost every sambar, palya, rasam and rice dish for colour and flavour. A 100 g pack lasts a family a month or two of daily cooking.",https://wink-1nn.pages.dev/catalogue/turmeric-powder-100-g.jpg,"https://www.dmart.in/product/everest-turmeric-powder (Everest Turmeric Powder 100 g, MRP Rs 48, Sept 2026)"
Coconut Oil,ತೆಂಗಿನ ಎಣ್ಣೆ,Parachute,500 ml,331,,Oil & Ghee,ಎಣ್ಣೆ & ತುಪ್ಪ,"Pure coconut oil, tengina enne in Kannada, in a 500 ml bottle, used in Karnataka kitchens for seasoning, frying and coastal-style curries and just as often as a hair oil. A 500 ml bottle lasts a family a month or more of light cooking use.",https://wink-1nn.pages.dev/catalogue/coconut-oil-500-ml.jpg,"https://budgetbazaar.online/product/parachute-coconut-oil-500ml-jaar/ (MRP ₹331, selling ₹310; Blinkit and Zepto cached listings show ₹290 for the 600 ml bottle; Sept 2026 — copra prices have risen through 2025–26, so check the printed MRP)"
Ghee,ತುಪ್ಪ,Nandini,500 ml,358,,Oil & Ghee,ಎಣ್ಣೆ & ತುಪ್ಪ,"Clarified butter, tuppa in Kannada, spooned over hot rice with saaru or dal, used for holige, payasa and festival sweets, and for tempering. A 500 ml pack lasts a family about a month of everyday use.",https://wink-1nn.pages.dev/catalogue/ghee-500-ml.jpg,"https://www.etvbharat.com/en/state/karnataka-nandini-butter-and-ghee-prices-hiked-enn26072408144 (KMF revision, Jul 2026: Nandini ghee 500 ml pouch ₹358, PET jar ₹368; earlier trade listing MRP ₹325 at babutradingco.com)"
Groundnut Oil,ಕಡಲೆಕಾಯಿ ಎಣ್ಣೆ,Freedom,1 L,230,,Oil & Ghee,ಎಣ್ಣೆ & ತುಪ್ಪ,"Filtered groundnut oil, kadalekayi enne or shenga enne in Kannada, the traditional cooking oil of North Karnataka with a nutty taste, used for frying, rotti-side dishes and pickles. A 1 L pouch lasts a small family one to two weeks.",https://wink-1nn.pages.dev/catalogue/groundnut-oil-1-l.jpg,"https://www.zepto.com/pn/freedom-double-filtered-groundnut-cooking-oil-pouch/pvid/1349a97a-09a5-44ab-b217-facd6ac630ee (MRP ₹230; BigBasket sells ₹195, Flipkart ₹185; Sept 2026)"
